individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
M603a,34,T3,33.21544359,M6,-0.013687418,-0.270101828,0.25641441
M603b,27,T3,26.37612772,M6,0.346260188,-0.350405864,0.696666052
M603b,28,T3,27.06528221,M6,0.399228655,-0.441567322,0.840795977
M603b,29,T3,28.45515226,M6,0.525040005,-0.390586694,0.915626699
M603b,30,T3,29.28526478,M6,0.134739179,-0.461929555,0.596668734
M603b,31,T3,29.94601464,M6,0.269718375,-0.494266026,0.763984401
M603b,32,T3,31.32580887,M6,0.68298272,-0.43112695,1.11410967
M603b,33,T3,32.51138627,M6,0.39838894,-0.346515993,0.744904933
M603b,34,T3,33.07398551,M6,-0.023920108,-0.266948143,0.243028035
M603c,27,T3,26.30522994,M6,0.355377965,-0.402380906,0.757758871
M603c,28,T3,27.13817963,M6,0.47875776,-0.465909734,0.944667494
M603c,29,T3,28.41650127,M6,0.574902865,-0.423851494,0.998754359
M603c,30,T3,29.15952226,M6,0.09999568,-0.453898252,0.553893932
M603c,31,T3,30.39490647,M6,0.628152204,-0.460171079,1.088323283
M603c,32,T3,31.37259641,M6,0.672236238,-0.390144397,1.062380635
M603c,33,T3,32.4310354,M6,0.339829025,-0.352124213,0.691953238
M603c,34,T3,33.12131622,M6,-0.119678574,-0.338044145,0.218365571
M603d,27,T3,26.24405966,M6,0.509121838,-0.479355145,0.988476983
M603d,28,T3,27.18215571,M6,0.584014477,-0.465540104,1.049554581
M603d,29,T3,28.26763611,M6,0.609857928,-0.474170378,1.084028306
M603d,30,T3,28.86613166,M6,0.732579815,-0.565591522,1.298171337
M603d,31,T3,30.49427192,M6,0.802720684,-0.499948949,1.302669633
M603d,32,T3,31.21435903,M6,0.684860872,-0.537086182,1.221947054
M603d,33,T3,32.52846709,M6,0.186939306,-0.357573599,0.544512905
M603d,34,T3,32.95190283,M6,-0.043242649,-0.376419568,0.333176919
M60Ca,27,C,26.29118037,M6,0.352355268,-0.388577669,0.740932937
M60Ca,28,C,27.13421339,M6,0.53350169,-0.437369256,0.970870946
M60Ca,29,C,28.44959961,M6,0.601766607,-0.3847469,0.986513507
M60Ca,30,C,29.18514998,M6,0.122368107,-0.406330831,0.528698938
M60Ca,31,C,30.3514694,M6,0.759320086,-0.453141943,1.212462029
M60Ca,32,C,31.38580314,M6,0.684099618,-0.455845954,1.139945572
M60Ca,33,C,32.42748933,M6,0.220361593,-0.376847373,0.597208966
M60Ca,34,C,33.10696028,M6,-0.121755419,-0.30504856,0.183293141
M60Cb,27,C,26.28498025,M6,0.494462715,-0.387118536,0.881581251
M60Cb,28,C,27.37145484,M6,0.433817137,-0.399422772,0.833239909
M60Cb,29,C,28.30766567,M6,0.629119788,-0.463030498,1.092150286
M60Cb,30,C,29.40099195,M6,0.528071937,-0.378291959,0.906363896
