"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"2297",295.702224714578,0.966787109602169,1.04834116153983,0.995673862323764,"SA2","shallow","GP","PAST"
"2298",295.772328663374,0.968627268314145,1.05020635751046,0.998139797607577,"SA2","shallow","GP","PAST"
"2299",295.842432612169,0.970436836871048,1.05203385609058,1.00057284433261,"SA2","shallow","GP","PAST"
"2300",295.912536560964,0.9722153940876,1.05382315076458,1.00297244147917,"SA2","shallow","GP","PAST"
"2301",295.982640509759,0.973962514778274,1.05557373091375,1.00533802020666,"SA2","shallow","GP","PAST"
"2302",296.052744458554,0.975677769786574,1.0572850818811,1.00766900383523,"SA2","shallow","GP","PAST"
"2303",296.122848407349,0.977360726016769,1.05895668503978,1.00996480783155,"SA2","shallow","GP","PAST"
"2304",296.192952356145,0.979010946468169,1.06058801786507,1.01222483979865,"SA2","shallow","GP","PAST"
"2305",296.26305630494,0.980624589841787,1.06217855401022,1.01444849947015,"SA2","shallow","GP","PAST"
"2306",296.333160253735,0.98111430657146,1.06418973591458,1.01663517870896,"SA2","shallow","GP","PAST"
"2307",296.40326420253,0.981588805580199,1.06630000690112,1.01878426151072,"SA2","shallow","GP","PAST"
"2308",296.473368151325,0.982047818795933,1.06835707084165,1.02089512401206,"SA2","shallow","GP","PAST"
"2309",296.54347210012,0.98249107364028,1.07036029090667,1.02296713450393,"SA2","shallow","GP","PAST"
"2310",296.613576048916,0.982840055030725,1.07230902828127,1.0249996534502,"SA2","shallow","GP","PAST"
"2311",296.683679997711,0.982822289698018,1.07420264236141,1.02699203351159,"SA2","shallow","GP","PAST"
"2312",296.753783946506,0.982797180625226,1.07609648832303,1.02894361957533,"SA2","shallow","GP","PAST"
"2313",296.823887895301,0.982764531638041,1.07801036358527,1.03085374879053,"SA2","shallow","GP","PAST"
"2314",296.893991844096,0.982724141383985,1.07987218071643,1.03272175060954,"SA2","shallow","GP","PAST"
"2315",296.964095792892,0.982675803202511,1.08168124989472,1.03454694683552,"SA2","shallow","GP","PAST"
"2316",297.034199741687,0.982619304992191,1.08343687670175,1.03632865167638,"SA2","shallow","GP","PAST"
"2317",297.104303690482,0.982554429074925,1.08513836226651,1.03806617180524,"SA2","shallow","GP","PAST"
"2318",297.174407639277,0.982480952057144,1.08678500341632,1.03975880642763,"SA2","shallow","GP","PAST"
"2319",297.244511588072,0.98239864468794,1.08837609283491,1.04140584735568,"SA2","shallow","GP","PAST"
"2320",297.314615536867,0.982307271714091,1.08991091922768,1.04300657908938,"SA2","shallow","GP","PAST"
"2321",297.384719485663,0.982206591731931,1.09138876749428,1.04456027890515,"SA2","shallow","GP","PAST"
"2322",297.454823434458,0.982096357036014,1.09280891890859,1.04606621695194,"SA2","shallow","GP","PAST"
"2323",297.524927383253,0.981976313464535,1.09428060249633,1.04752365635497,"SA2","shallow","GP","PAST"
"2324",297.595031332048,0.981846200241468,1.09691634614653,1.04893185332732,"SA2","shallow","GP","PAST"
"2325",297.665135280843,0.981705749815364,1.09948943665595,1.05029005728958,"SA2","shallow","GP","PAST"
"2326",297.735239229639,0.981554687694781,1.10199880904988,1.05159751099767,"SA2","shallow","GP","PAST"
"2327",297.805343178434,0.981392732280301,1.10444338697286,1.05285345067906,"SA2","shallow","GP","PAST"
"2328",297.875447127229,0.981219594693093,1.10683890647319,1.05405710617746,"SA2","shallow","GP","PAST"
"2329",297.945551076024,0.981034978599997,1.10948416737057,1.05520770110633,"SA2","shallow","GP","PAST"
"2330",298.015655024819,0.98083858003507,1.11205570367135,1.05630445301104,"SA2","shallow","GP","PAST"
"2331",298.085758973614,0.980630087217592,1.1145523567273,1.05734657354024,"SA2","shallow","GP","PAST"
"2332",298.15586292241,0.980409180366467,1.11697295914784,1.05833326862616,"SA2","shallow","GP","PAST"
"2333",298.225966871205,0.980175531511025,1.11931633515698,1.0592637386743,"SA2","shallow","GP","PAST"
"2334",298.29607082,0.979928804298166,1.12158130096976,1.06013717876243,"SA2","shallow","GP","PAST"
"2335",298.366174768795,0.979668653795846,1.1237666651882,1.06095277884914,"SA2","shallow","GP","PAST"
"2336",298.43627871759,0.979394726292872,1.1258712292173,1.06170972399194,"SA2","shallow","GP","PAST"
"2337",298.506382666386,0.979106659094993,1.12789378770109,1.06240719457509,"SA2","shallow","GP","PAST"
"2338",298.576486615181,0.978804080317272,1.12983312897912,1.0630443665472,"SA2","shallow","GP","PAST"
"2339",298.646590563976,0.978486608672729,1.13168803556362,1.06362041166868,"SA2","shallow","GP","PAST"
"2340",298.716694512771,0.978153853257243,1.13345728463733,1.06413449776911,"SA2","shallow","GP","PAST"
"2341",298.786798461566,0.977805413330724,1.13513964857233,1.06458578901455,"SA2","shallow","GP","PAST"
"2342",298.856902410361,0.977440878094539,1.13673389546988,1.0649734461849,"SA2","shallow","GP","PAST"
"2343",298.927006359157,0.977059826465221,1.13823878972129,1.0652966269612,"SA2","shallow","GP","PAST"
"2344",298.997110307952,0.976661826844447,1.13965309259003,1.06555448622304,"SA2","shallow","GP","PAST"
"2345",299.067214256747,0.976246436885331,1.14097556281489,1.0657461763559,"SA2","shallow","GP","PAST"
"2346",299.137318205542,0.975813203255029,1.1422049572342,1.06587084756855,"SA2","shallow","GP","PAST"
"2347",299.207422154337,0.975361661393714,1.14334003143108,1.06592764822036,"SA2","shallow","GP","PAST"
"2348",299.277526103133,0.974891335269927,1.14437954039948,1.06591572515851,"SA2","shallow","GP","PAST"
