"","genotype","temp.Cat","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"85","M6",32,"C",0.55061082775,4,0.140366552599288,-0.464896837,0.0216855318108704,1.01550766475,0.14481286008631,31.3558462925,0.0562154729880944
"86","M6",32,"T1",0.66619873425,4,0.183078100229846,-0.50450706125,0.0258975961518411,1.1707057955,0.167619095053187,31.303602925,0.0516841314673616
"87","M6",32,"T2",0.55617150375,4,0.0585927274214542,-0.44917483975,0.0266781941181013,1.0053463435,0.0672820819892797,31.2955953775,0.0449384301660044
"88","M6",32,"T3",0.55597868025,4,0.124079096102193,-0.43806305675,0.0342791612815881,0.994041737,0.142695232227053,31.3002612475,0.0334262642722046
"89","M6",33,"C",0.3169629555,4,0.0343757936802611,-0.40034611925,0.0205031573047467,0.71730907475,0.0419672902400017,32.4334652225,0.0297120098543527
"90","M6",33,"T1",0.469740093,4,0.028095722534678,-0.42034658475,0.0394221641341981,0.89008667775,0.0521341859495716,32.4571396775,0.0611038599169719
"91","M6",33,"T2",0.2689304965,4,0.032900496311353,-0.394655231,0.0303315825211529,0.6635857275,0.0619787764723237,32.3286793625,0.0141641745794687
"92","M6",33,"T3",0.329078625,4,0.049139961628268,-0.34197990375,0.0103407253121548,0.67105852875,0.0436989722016962,32.49799473,0.0225921240488715
"93","M6",34,"C",-0.098894188,4,0.0460750912517945,-0.29294869475,0.0304960556470893,0.19405450675,0.0236024081870262,33.1342614425,0.0593245922514323
"94","M6",34,"T1",0.03596817775,4,0.0570334605402809,-0.3110603715,0.0511763986702858,0.34702854925,0.0424286626735053,33.1102070925,0.0610988281014493
"95","M6",34,"T2",-0.13222332525,4,0.028364749398799,-0.3535802085,0.0243565320583312,0.22135688325,0.00976353909505473,33.104962695,0.0308045831037661
"96","M6",34,"T3",-0.05013218725,4,0.0239782191991899,-0.312878421,0.0267865301541103,0.26274623375,0.0247639253836089,33.0906620375,0.0548044546429539
